| Timestamp           | Temperature | Humidity | Soil Moisture | Rain | Flow (L/min) | Motor Status |
|---------------------|-------------|----------|----------------|------|--------------|---------------|
| 7/4/2025, 3:31:18 pm | 29.5°C      | 40.5%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:31:12 pm | 29.5°C      | 40.3%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:31:07 pm | 29.6°C      | 39.7%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:31:00 pm | 29.5°C      | 39.2%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:30:54 pm | 29.5°C      | 38.8%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:30:48 pm | 29.6°C      | 39.3%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:30:42 pm | 29.5°C      | 39.5%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:30:35 pm | 29.5°C      | 39.3%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:30:29 pm | 29.5°C      | 39.5%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:30:24 pm | 29.5°C      | 39.4%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:30:19 pm | 29.5°C      | 39.5%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:30:12 pm | 29.6°C      | 39.6%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:30:07 pm | 29.6°C      | 39.3%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:30:01 pm | 29.5°C      | 37.9%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:29:58 pm | 0°C      | 0%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:29:56 pm | 29.4°C      | 38%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:29:56 pm | 29.4°C      | 37.1%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:29:56 pm | 29.4°C      | 37.7%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:29:56 pm | 29.3°C      | 39%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:29:56 pm | 29.3°C      | 38.8%      | 64%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:29:56 pm | 29.4°C      | 39.1%      | 64%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:29:56 pm | 29.4°C      | 39.1%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:28:20 pm | 29.4°C      | 39%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:28:14 pm | 29.4°C      | 39.1%      | 64%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:28:09 pm | 29.4°C      | 39.1%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:28:04 pm | 29.4°C      | 39.2%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:27:57 pm | 29.4°C      | 39.3%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:27:52 pm | 29.3°C      | 39.3%      | 64%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:27:47 pm | 29.3°C      | 39.3%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:27:41 pm | 29.4°C      | 39.4%      | 64%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:27:34 pm | 29.4°C      | 39.1%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:27:29 pm | 29.4°C      | 39.2%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:27:23 pm | 29.5°C      | 39.2%      | 64%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:27:16 pm | 29.4°C      | 39.2%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:27:11 pm | 29.5°C      | 39.3%      | 64%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:27:04 pm | 29.5°C      | 39.3%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:26:59 pm | 29.5°C      | 39.2%      | 64%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:26:54 pm | 29.5°C      | 39.1%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:26:48 pm | 29.5°C      | 39.1%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:26:41 pm | 29.5°C      | 38.8%      | 64%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:26:36 pm | 29.5°C      | 38.8%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:26:29 pm | 29.4°C      | 38.7%      | 64%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:26:23 pm | 29.4°C      | 38.8%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:26:18 pm | 29.4°C      | 38.7%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:26:13 pm | 29.4°C      | 38.8%      | 64%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:26:08 pm | 29.4°C      | 38.9%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:26:03 pm | 29.4°C      | 38.8%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:25:57 pm | 29.4°C      | 39%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:25:55 pm | 29.4°C      | 39%      | 64%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:25:47 pm | 29.4°C      | 39%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:25:40 pm | 29.4°C      | 39%      | 64%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:25:36 pm | 29.3°C      | 39.1%      | 64%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:25:29 pm | 29.3°C      | 38.8%      | 64%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:25:23 pm | 29.4°C      | 38.7%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:25:16 pm | 29.4°C      | 38.6%      | 63%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:25:11 pm | 29.4°C      | 38.6%      | 64%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:25:04 pm | 29.4°C      | 38.9%      | 65%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:24:58 pm | 29.4°C      | 39.1%      | 64%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:24:52 pm | 29.4°C      | 38.9%      | 64%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:24:40 pm | 29.4°C      | 39.2%      | 64%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:24:33 pm | 29.5°C      | 39.1%      | 64%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:24:27 pm | 29.5°C      | 39.2%      | 64%           | No       | 0.00         | OFF     |
| 7/4/2025, 3:24:21 pm | 29.5°C      | 39.1%      | 65%           | No       | 0.00         | OFF     |
